,False: dropped,ranking
mean_gyro_X,TRUE,1
mean_gyro_Y,TRUE,1
mean_gyro_Z,TRUE,1
max_gyro_X,TRUE,1
max_gyro_Y,TRUE,1
max_gyro_Z,TRUE,1
min_gyro_X,TRUE,1
min_gyro_Z,TRUE,1
var_gyro_X,TRUE,1
var_gyro_Y,TRUE,1
var_gyro_Z,TRUE,1
median_gyro_X,TRUE,1
median_gyro_Z,TRUE,1
per25_gyro_Z,TRUE,1
per75_gyro_X,TRUE,1
per75_gyro_Y,TRUE,1
per75_gyro_Z,TRUE,1
per_range_gyro_X,TRUE,1
per_range_gyro_Y,TRUE,1
per_range_gyro_Z,TRUE,1
RMS_gyro_X,TRUE,1
RMS_gyro_Y,TRUE,1
RMS_gyro_Z,TRUE,1
coef_gyro_xy,TRUE,1
coef_gyro_xz,TRUE,1
coef_gyro_yz,TRUE,1
PB5-10gyro_X,TRUE,1
PB10-15gyro_X,TRUE,1
PB15-20gyro_X,TRUE,1
PB30-35gyro_X,TRUE,1
PB40-45gyro_X,TRUE,1
PB0-5gyro_Y,TRUE,1
PB10-15gyro_Y,TRUE,1
PB15-20gyro_Y,TRUE,1
PB20-25gyro_Y,TRUE,1
PB30-35gyro_Y,TRUE,1
PB0-5gyro_Z,TRUE,1
PB5-10gyro_Z,TRUE,1
PB10-15gyro_Z,TRUE,1
PB15-20gyro_Z,TRUE,1
PB25-30gyro_Z,TRUE,1
PB30-35gyro_Z,TRUE,1
PB40-45gyro_Z,TRUE,1
FE_gyro_X,TRUE,1
FE_gyro_Y,TRUE,1
FE_gyro_Z,TRUE,1
En_gyro_X,TRUE,1
En_gyro_Y,TRUE,1
En_gyro_Z,TRUE,1
DC_gyro_X,TRUE,1
DC_gyro_Y,TRUE,1
DC_gyro_Z,TRUE,1
min_gyro_Y,FALSE,11
median_gyro_Y,FALSE,18
per25_gyro_X,FALSE,13
per25_gyro_Y,FALSE,9
PB0-5gyro_X,FALSE,16
PB20-25gyro_X,FALSE,10
PB25-30gyro_X,FALSE,6
PB35-40gyro_X,FALSE,2
PB45-50gyro_X,FALSE,15
PB5-10gyro_Y,FALSE,14
PB25-30gyro_Y,FALSE,5
PB35-40gyro_Y,FALSE,17
PB40-45gyro_Y,FALSE,12
PB45-50gyro_Y,FALSE,7
PB20-25gyro_Z,FALSE,4
PB35-40gyro_Z,FALSE,8
PB45-50gyro_Z,FALSE,3
