,imp,col
6,0.13991510765391474,per25_gyro_X
12,0.07113173563456945,per_range_gyro_Z
5,0.05741032784806325,var_gyro_Z
2,0.048173720899603166,min_gyro_X
15,0.0466451778205896,coef_gyro_yz
23,0.045374174083062206,PB40-45gyro_Z
14,0.04534453770608777,RMS_gyro_Z
10,0.04055977735055696,per_range_gyro_X
11,0.03556265913996122,per_range_gyro_Y
0,0.035505414390283166,max_gyro_X
1,0.0345713464746782,max_gyro_Z
7,0.03217222138047066,per25_gyro_Y
26,0.030846881167071627,En_gyro_Z
18,0.03073078532634076,PB20-25gyro_X
9,0.02976538889475173,per75_gyro_Z
8,0.02654589301521055,per25_gyro_Z
22,0.026259127030395818,PB20-25gyro_Z
19,0.02625215621631301,PB40-45gyro_Y
17,0.0259275785998134,PB15-20gyro_X
3,0.025023954516180186,min_gyro_Y
4,0.024169797137183,var_gyro_Y
25,0.023859721452534698,En_acc_Y
20,0.021825726220518683,PB10-15gyro_Z
21,0.021191648597521862,PB15-20gyro_Z
13,0.020616655230906476,per_range_acc_xyz
16,0.01942206703913891,PB20-25acc_Y
24,0.015196419174278969,PB45-50gyro_Z
