,False: dropped,featureImportances
mean_acc_X,True,0.009774728496401833
mean_acc_Y,False,0.0067932623228495114
mean_acc_Z,False,0.006580876047215182
mean_acc_xyz,True,0.01318267978588823
max_acc_X,False,0.007709472631570601
max_acc_Y,False,0.007963099927409897
max_acc_Z,True,0.008463383165847107
max_acc_xyz,True,0.012872295156779387
min_acc_X,True,0.01715726572241874
min_acc_Y,False,0.007907878711187023
min_acc_Z,False,0.006840328071024199
min_acc_xyz,False,0.00763240941845108
var_acc_X,True,0.011978665767657732
var_acc_Y,True,0.027940901194014933
var_acc_Z,True,0.009329148145041726
var_acc_xyz,True,0.02198736433307609
median_acc_X,True,0.008800433340603849
median_acc_Y,False,0.008047612685910746
median_acc_Z,False,0.005607171788755331
median_acc_xyz,True,0.009128481835541165
per25_acc_X,True,0.012907670004330532
per25_acc_Y,False,0.005781697444819741
per25_acc_Z,False,0.0065495888298018135
per25_acc_xyz,True,0.00898406350344726
per75_acc_X,False,0.006791511847851768
per75_acc_Y,False,0.007300981544430893
per75_acc_Z,False,0.007926855411929737
per75_acc_xyz,True,0.014366566244770895
per_range_acc_X,True,0.012163050450378628
per_range_acc_Y,True,0.030710423525818036
per_range_acc_Z,True,0.012359916278131315
per_range_acc_xyz,True,0.035941002203499564
RMS_acc_X,True,0.01016239976384753
RMS_acc_Y,False,0.005701332747572649
RMS_acc_Z,False,0.0058625128943096015
RMS_acc_xyz,True,0.012596518648411869
coef_acc_xy,True,0.020869770805594857
coef_acc_xz,True,0.009377720801155943
coef_acc_yz,True,0.01306685502431378
PB0-5acc_X,True,0.009482241670815978
PB5-10acc_X,False,0.008227737279647302
PB10-15acc_X,True,0.009391142914206894
PB15-20acc_X,True,0.017123942010316057
PB20-25acc_X,True,0.017228465806595716
PB25-30acc_X,False,0.0050234580585725155
PB30-35acc_X,False,0.00633474543628483
PB35-40acc_X,False,0.005517072687077505
PB40-45acc_X,True,0.032186582429523956
PB45-50acc_X,True,0.01246762853717247
PB0-5acc_Y,False,0.006937685553572758
PB5-10acc_Y,True,0.014449351749434597
PB10-15acc_Y,True,0.029410794827653523
PB15-20acc_Y,True,0.028751382961143917
PB20-25acc_Y,True,0.03594408995682478
PB25-30acc_Y,False,0.005184695086151271
PB30-35acc_Y,False,0.00525725136255472
PB35-40acc_Y,False,0.005090442983027742
PB40-45acc_Y,True,0.03500347519899535
PB45-50acc_Y,False,0.007922606850240533
PB0-5acc_Z,False,0.006289374614217778
PB5-10acc_Z,False,0.007570838165126519
PB10-15acc_Z,True,0.010275994171697877
PB15-20acc_Z,True,0.015008622455003805
PB20-25acc_Z,True,0.00940993554866042
PB25-30acc_Z,False,0.00505580192326245
PB30-35acc_Z,False,0.0059588853642947685
PB35-40acc_Z,False,0.005290414134886787
PB40-45acc_Z,True,0.011905532794582436
PB45-50acc_Z,False,0.008022518345737239
PB0-5acc_xyz,True,0.013737715480882233
PB5-10acc_xyz,False,0.006030374355300344
PB10-15acc_xyz,False,0.007944159053098693
PB15-20acc_xyz,False,0.00671629997374517
PB20-25acc_xyz,True,0.020469586872533824
PB25-30acc_xyz,False,0.0048495439380088
PB30-35acc_xyz,False,0.005128271510595413
PB35-40acc_xyz,False,0.0044097766201756485
PB40-45acc_xyz,True,0.012892946362211196
PB45-50acc_xyz,False,0.005394373270066019
FE_acc_X,False,0.006081382760151627
FE_acc_Y,False,0.006627289036144644
FE_acc_Z,False,0.006180276433110601
FE_acc_xyz,False,0.006462962052006134
En_acc_X,True,0.013499021451102107
En_acc_Y,True,0.020021145676411927
En_acc_Z,True,0.009043262933054635
En_acc_xyz,False,0.0076710048220575205
